    "Tabla","Codigo","Nombre","Descripcion","Habilitado","Aplicacion","IsStandardGEL","IsStandardMSPS","Extra_I:Cobertura","Extra_II","Extra_III","Extra_IV","Extra_V","Extra_VI","Extra_VII","Extra_VIII","Extra_IX","Extra_X","ValorRegistro","UsuarioResponsable","Fecha_Actualizacion","IsPublicPrivate"
"CUPS","011101","BIOPSIA ÓSEA EN CRÁNEO POR CRANEOTOMÍA","CapItulo 01 SISTEMA NERVIOSO","SI","","False","False","Z","False","False","SUBCATEGORIA","01.1.1.01","011101","BIOPSIA EN CRÁNEO","PROCEDIMIENTOS DIAGNÓSTICOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES","PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES","SI","","","2026-03-17 07:19:42 PM",""
"CUPS","011102","BIOPSIA ÓSEA EN CRÁNEO POR CRANIECTOMÍA","CapItulo 01 SISTEMA NERVIOSO","SI","","False","False","Z","False","False","SUBCATEGORIA","01.1.1.02","011102","BIOPSIA EN CRÁNEO","PROCEDIMIENTOS DIAGNÓSTICOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES","PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES","SI","","","2026-03-17 07:19:42 PM",""
"CUPS","011103","BIOPSIA DE CRÁNEO","CapItulo 01 SISTEMA NERVIOSO","SI","","False","False","Z","False","False","SUBCATEGORIA","01.1.1.03","011103","BIOPSIA EN CRÁNEO","PROCEDIMIENTOS DIAGNÓSTICOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES","PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES","SI","","","2026-03-17 07:19:42 PM",""
"CUPS","011201","BIOPSIA DE MENINGE- POR CRANEOTOMÍA","CapItulo 01 SISTEMA NERVIOSO","SI","","False","False","Z","False","False","SUBCATEGORIA","01.1.2.01","011201","BIOPSIAS DE MENINGE CEREBRAL","PROCEDIMIENTOS DIAGNÓSTICOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES","PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES","SI","","","2026-03-17 07:19:42 PM",""
"CUPS","011202","BIOPSIA DE MENINGE CEREBRAL","CapItulo 01 SISTEMA NERVIOSO","SI","","False","False","Z","False","False","SUBCATEGORIA","01.1.2.02","011202","BIOPSIAS DE MENINGE CEREBRAL","PROCEDIMIENTOS DIAGNÓSTICOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES","PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES","SI","","","2026-03-17 07:19:42 PM",""
"CUPS","011301","BIOPSIA CERRADA (PERCUTÁNEA) (AGUJA) DE CEREBRO","CapItulo 01 SISTEMA NERVIOSO","SI","","False","False","Z","False","False","SUBCATEGORIA","01.1.3.01","011301","BIOPSIAS DE CEREBRO","PROCEDIMIENTOS DIAGNÓSTICOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES","PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES","SI","","","2026-03-17 07:19:42 PM",""
"CUPS","011302","BIOPSIA ABIERTA (CRANEOTOMÍA) DE CEREBRO","CapItulo 01 SISTEMA NERVIOSO","SI","","False","False","Z","False","False","SUBCATEGORIA","01.1.3.02","011302","BIOPSIAS DE CEREBRO","PROCEDIMIENTOS DIAGNÓSTICOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES","PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES","SI","","","2026-03-17 07:19:42 PM",""
"CUPS","011303","BIOPSIA DE CEREBRO POR TREPANACIÓN","CapItulo 01 SISTEMA NERVIOSO","SI","","False","False","Z","False","False","SUBCATEGORIA","01.1.3.03","011303","BIOPSIAS DE CEREBRO","PROCEDIMIENTOS DIAGNÓSTICOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES","PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES","SI","","","2026-03-17 07:19:42 PM",""
"CUPS","011306","BIOPSIA DE CEREBRO SUPERFICIAL POR ESTEREOTAXIA","CapItulo 01 SISTEMA NERVIOSO","SI","","False","False","Z","False","False","SUBCATEGORIA","01.1.3.06","011306","BIOPSIAS DE CEREBRO","PROCEDIMIENTOS DIAGNÓSTICOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES","PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES","SI","","","2026-03-17 07:19:42 PM",""
"CUPS","011307","BIOPSIA DE CEREBRO PROFUNDA POR ESTEREOTAXIA","CapItulo 01 SISTEMA NERVIOSO","SI","","False","False","Z","False","False","SUBCATEGORIA","01.1.3.07","011307","BIOPSIAS DE CEREBRO","PROCEDIMIENTOS DIAGNÓSTICOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES","PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES","SI","","","2026-03-17 07:19:42 PM",""
"CUPS","012101","CRANEALIZACIÓN DE SENO FRONTAL","CapItulo 01 SISTEMA NERVIOSO","SI","","False","False","Z","False","False","SUBCATEGORIA","01.2.1.01","012101","INCISIÓN O DRENAJE O DESFUNCIONALIZACIÓN DE SENO FRONTAL","CRANEOTOMÍA Y CRANIECTOMÍA","PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES","SI","","","2026-03-17 07:19:42 PM",""
"CUPS","012102","INCISIÓN Y DRENAJE DE SENO FRONTAL","CapItulo 01 SISTEMA NERVIOSO","SI","","False","False","Z","False","False","SUBCATEGORIA","01.2.1.02","012102","INCISIÓN O DRENAJE O DESFUNCIONALIZACIÓN DE SENO FRONTAL","CRANEOTOMÍA Y CRANIECTOMÍA","PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES","SI","","","2026-03-17 07:19:42 PM",""
"CUPS","012103","DESFUNCIONALIZACIÓN DE SENO FRONTAL","CapItulo 01 SISTEMA NERVIOSO","SI","","False","False","Z","False","False","SUBCATEGORIA","01.2.1.03","012103","INCISIÓN O DRENAJE O DESFUNCIONALIZACIÓN DE SENO FRONTAL","CRANEOTOMÍA Y CRANIECTOMÍA","PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES","SI","","","2026-03-17 07:19:42 PM",""
"CUPS","012201","RETIRO O SUSTITUCIÓN DE ELECTRODO CRANEAL PROFUNDO O INTRAPARENQUIMATOSO","CapItulo 01 SISTEMA NERVIOSO","SI","","False","False","Z","False","False","SUBCATEGORIA","01.2.2.01","012201","RETIRO, SUSTITUCIÓN O REVISIÓN DE NEUROESTIMULADOR O ELECTRODO INTRACRANEAL","CRANEOTOMÍA Y CRANIECTOMÍA","PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES","SI","","","2026-03-17 07:19:42 PM",""
"CUPS","012202","RETIRO O SUSTITUCIÓN DE ELECTRODO EPIDURAL","CapItulo 01 SISTEMA NERVIOSO","SI","","False","False","Z","False","False","SUBCATEGORIA","01.2.2.02","012202","RETIRO, SUSTITUCIÓN O REVISIÓN DE NEUROESTIMULADOR O ELECTRODO INTRACRANEAL","CRANEOTOMÍA Y CRANIECTOMÍA","PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES","SI","","","2026-03-17 07:19:42 PM",""
"CUPS","012203","RETIRO O SUSTITUCIÓN DE ELECTRODO SUBDURAL","CapItulo 01 SISTEMA NERVIOSO","SI","","False","False","Z","False","False","SUBCATEGORIA","01.2.2.03","012203","RETIRO, SUSTITUCIÓN O REVISIÓN DE NEUROESTIMULADOR O ELECTRODO INTRACRANEAL","CRANEOTOMÍA Y CRANIECTOMÍA","PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES","SI","","","2026-03-17 07:19:42 PM",""
"CUPS","012204","RETIRO O SUSTITUCIÓN DE ELECTRODO A NERVIO CRANEAL O PERIFÉRICO","CapItulo 01 SISTEMA NERVIOSO","SI","","False","False","Z","False","False","SUBCATEGORIA","01.2.2.04","012204","RETIRO, SUSTITUCIÓN O REVISIÓN DE NEUROESTIMULADOR O ELECTRODO INTRACRANEAL","CRANEOTOMÍA Y CRANIECTOMÍA","PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES","SI","","","2026-03-17 07:19:42 PM",""
"CUPS","012205","RETIRO O SUSTITUCIÓN DE NEUROESTIMULADOR INTRACRANEAL","CapItulo 01 SISTEMA NERVIOSO","SI","","False","False","Z","False","False","SUBCATEGORIA","01.2.2.05","012205","RETIRO, SUSTITUCIÓN O REVISIÓN DE NEUROESTIMULADOR O ELECTRODO INTRACRANEAL","CRANEOTOMÍA Y CRANIECTOMÍA","PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES","SI","","","2026-03-17 07:19:42 PM",""
"CUPS","012206","REVISIÓN DE ELECTRODO CRANEAL PROFUNDO O INTRAPARENQUIMATOSO","CapItulo 01 SISTEMA NERVIOSO","SI","","False","False","Z","False","False","SUBCATEGORIA","01.2.2.06","012206","RETIRO, SUSTITUCIÓN O REVISIÓN DE NEUROESTIMULADOR O ELECTRODO INTRACRANEAL","CRANEOTOMÍA Y CRANIECTOMÍA","PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES","SI","","","2026-03-17 07:19:42 PM",""
"CUPS","012207","REVISIÓN DE ELECTRODO EPIDURAL","CapItulo 01 SISTEMA NERVIOSO","SI","","False","False","Z","False","False","SUBCATEGORIA","01.2.2.07","012207","RETIRO, SUSTITUCIÓN O REVISIÓN DE NEUROESTIMULADOR O ELECTRODO INTRACRANEAL","CRANEOTOMÍA Y CRANIECTOMÍA","PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES","SI","","","2026-03-17 07:19:42 PM",""
"CUPS","012208","REVISIÓN DE ELECTRODO SUBDURAL","CapItulo 01 SISTEMA NERVIOSO","SI","","False","False","Z","False","False","SUBCATEGORIA","01.2.2.08","012208","RETIRO, SUSTITUCIÓN O REVISIÓN DE NEUROESTIMULADOR O ELECTRODO INTRACRANEAL","CRANEOTOMÍA Y CRANIECTOMÍA","PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES","SI","","","2026-03-17 07:19:42 PM",""
"CUPS","012209","REVISIÓN DE ELECTRODO A NERVIO CRANEAL O PERIFÉRICO","CapItulo 01 SISTEMA NERVIOSO","SI","","False","False","Z","False","False","SUBCATEGORIA","01.2.2.09","012209","RETIRO, SUSTITUCIÓN O REVISIÓN DE NEUROESTIMULADOR O ELECTRODO INTRACRANEAL","CRANEOTOMÍA Y CRANIECTOMÍA","PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES","SI","","","2026-03-17 07:19:42 PM",""
"CUPS","012210","REVISIÓN DE NEUROESTIMULADOR","CapItulo 01 SISTEMA NERVIOSO","SI","","False","False","Z","False","False","SUBCATEGORIA","01.2.2.10","012210","RETIRO, SUSTITUCIÓN O REVISIÓN DE NEUROESTIMULADOR O ELECTRODO INTRACRANEAL","CRANEOTOMÍA Y CRANIECTOMÍA","PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES","SI","","","2026-03-17 07:19:42 PM",""
"CUPS","012301","REAPERTURA DE CRANEOTOMÍA","CapItulo 01 SISTEMA NERVIOSO","SI","","False","False","Z","False","False","SUBCATEGORIA","01.2.3.01","012301","REAPERTURA DE CRANEOTOMÍAS","CRANEOTOMÍA Y CRANIECTOMÍA","PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES","SI","","","2026-03-17 07:19:42 PM",""
"CUPS","012401","DRENAJE DE ESPACIO EPIDURAL SUPRATENTORIAL- POR CRANEOTOMÍA","CapItulo 01 SISTEMA NERVIOSO","SI","","False","False","Z","False","False","SUBCATEGORIA","01.2.4.01","012401","OTRAS CRANEOTOMÍAS (DESCOMPRESIVAS O EXPLORATORIAS)","CRANEOTOMÍA Y CRANIECTOMÍA","PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES","SI","","","2026-03-17 07:19:42 PM",""
"CUPS","012402","DRENAJE DE ESPACIO EPIDURAL FOSA POSTERIOR- POR CRANEOTOMÍA","CapItulo 01 SISTEMA NERVIOSO","SI","","False","False","Z","False","False","SUBCATEGORIA","01.2.4.02","012402","OTRAS CRANEOTOMÍAS (DESCOMPRESIVAS O EXPLORATORIAS)","CRANEOTOMÍA Y CRANIECTOMÍA","PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES","SI","","","2026-03-17 07:19:42 PM",""
"CUPS","012403","CRANEOTOMÍA (DESCOMPRESIVA O EXPLORATORIA)","CapItulo 01 SISTEMA NERVIOSO","SI","","False","False","Z","False","False","SUBCATEGORIA","01.2.4.03","012403","OTRAS CRANEOTOMÍAS (DESCOMPRESIVAS O EXPLORATORIAS)","CRANEOTOMÍA Y CRANIECTOMÍA","PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES","SI","","","2026-03-17 07:19:42 PM",""
"CUPS","012410","EXTRACCIÓN DE CUERPO EXTRAÑO INTRACRANEAL- POR CRANEOTOMÍA","CapItulo 01 SISTEMA NERVIOSO","SI","","False","False","Z","False","False","SUBCATEGORIA","01.2.4.10","012410","OTRAS CRANEOTOMÍAS (DESCOMPRESIVAS O EXPLORATORIAS)","CRANEOTOMÍA Y CRANIECTOMÍA","PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES","SI","","","2026-03-17 07:19:42 PM",""
"CUPS","012501","SECUESTRECTOMÍA DE CRÁNEO- POR CRANIECTOMÍA","CapItulo 01 SISTEMA NERVIOSO","SI","","False","False","Z","False","False","SUBCATEGORIA","01.2.5.01","012501","OTRAS CRANIECTOMÍAS","CRANEOTOMÍA Y CRANIECTOMÍA","PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES","SI","","","2026-03-17 07:19:42 PM",""
"CUPS","012502","DRENAJE DE COLECCIÓN EPIDURAL SUPRATENTORIAL- POR CRANIECTOMÍA","CapItulo 01 SISTEMA NERVIOSO","SI","","False","False","Z","False","False","SUBCATEGORIA","01.2.5.02","012502","OTRAS CRANIECTOMÍAS","CRANEOTOMÍA Y CRANIECTOMÍA","PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES","SI","","","2026-03-17 07:19:42 PM",""
"CUPS","012503","DRENAJE DE COLECCIÓN EPIDURAL FOSA POSTERIOR- POR CRANIECTOMÍA","CapItulo 01 SISTEMA NERVIOSO","SI","","False","False","Z","False","False","SUBCATEGORIA","01.2.5.03","012503","OTRAS CRANIECTOMÍAS","CRANEOTOMÍA Y CRANIECTOMÍA","PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES","SI","","","2026-03-17 07:19:42 PM",""
"CUPS","012505","CRANIECTOMÍA DESCOMPRESIVA BIFRONTAL","CapItulo 01 SISTEMA NERVIOSO","SI","","False","False","Z","False","False","SUBCATEGORIA","01.2.5.05","012505","OTRAS CRANIECTOMÍAS","CRANEOTOMÍA Y CRANIECTOMÍA","PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES","SI","","","2026-03-17 07:19:42 PM",""
"CUPS","012506","CRANIECTOMÍA DESCOMPRESIVA HEMISFÉRICA","CapItulo 01 SISTEMA NERVIOSO","SI","","False","False","Z","False","False","SUBCATEGORIA","01.2.5.06","012506","OTRAS CRANIECTOMÍAS","CRANEOTOMÍA Y CRANIECTOMÍA","PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES","SI","","","2026-03-17 07:19:42 PM",""
"CUPS","012507","CRANIECTOMÍA DESCOMPRESIVA EN FOSA POSTERIOR","CapItulo 01 SISTEMA NERVIOSO","SI","","False","False","Z","False","False","SUBCATEGORIA","01.2.5.07","012507","OTRAS CRANIECTOMÍAS","CRANEOTOMÍA Y CRANIECTOMÍA","PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES","SI","","","2026-03-17 07:19:42 PM",""
"CUPS","013101","DRENAJE DE ESPACIO SUBDURAL- POR CRANEOTOMÍA","CapItulo 01 SISTEMA NERVIOSO","SI","","False","False","Z","False","False","SUBCATEGORIA","01.3.1.01","013101","INCISIONES DE MENINGES CEREBRALES","INCISIÓN DE CEREBRO Y MENINGES CEREBRALES","PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES","SI","","","2026-03-17 07:19:42 PM",""
"CUPS","013102","DRENAJE DE ESPACIO SUBDURAL- POR TREPANACIÓN","CapItulo 01 SISTEMA NERVIOSO","SI","","False","False","Z","False","False","SUBCATEGORIA","01.3.1.02","013102","INCISIONES DE MENINGES CEREBRALES","INCISIÓN DE CEREBRO Y MENINGES CEREBRALES","PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES","SI","","","2026-03-17 07:19:42 PM",""
"CUPS","013103","DRENAJE DE ESPACIO SUBDURAL EN FOSA POSTERIOR- POR CRANIECTOMÍA","CapItulo 01 SISTEMA NERVIOSO","SI","","False","False","Z","False","False","SUBCATEGORIA","01.3.1.03","013103","INCISIONES DE MENINGES CEREBRALES","INCISIÓN DE CEREBRO Y MENINGES CEREBRALES","PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES","SI","","","2026-03-17 07:19:42 PM",""
"CUPS","013104","DRENAJE DE ESPACIO SUBDURAL- POR DRENAJE EXTERNO","CapItulo 01 SISTEMA NERVIOSO","SI","","False","False","Z","False","False","SUBCATEGORIA","01.3.1.04","013104","INCISIONES DE MENINGES CEREBRALES","INCISIÓN DE CEREBRO Y MENINGES CEREBRALES","PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES","SI","","","2026-03-17 07:19:42 PM",""
"CUPS","013105","DRENAJE DE ESPACIO SUBARACNOIDEO- POR DERIVACIÓN CISTO PERITONEAL","CapItulo 01 SISTEMA NERVIOSO","SI","","False","False","Z","False","False","SUBCATEGORIA","01.3.1.05","013105","INCISIONES DE MENINGES CEREBRALES","INCISIÓN DE CEREBRO Y MENINGES CEREBRALES","PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES","SI","","","2026-03-17 07:19:42 PM",""
"CUPS","013106","DRENAJE DE ESPACIO SUBDURAL- POR DERIVACIÓN SUBDURO PERITONEAL","CapItulo 01 SISTEMA NERVIOSO","SI","","False","False","Z","False","False","SUBCATEGORIA","01.3.1.06","013106","INCISIONES DE MENINGES CEREBRALES","INCISIÓN DE CEREBRO Y MENINGES CEREBRALES","PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES","SI","","","2026-03-17 07:19:42 PM",""
"CUPS","013107","INCISIÓN DE MENINGES CEREBRALES","CapItulo 01 SISTEMA NERVIOSO","SI","","False","False","Z","False","False","SUBCATEGORIA","01.3.1.07","013107","INCISIONES DE MENINGES CEREBRALES","INCISIÓN DE CEREBRO Y MENINGES CEREBRALES","PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES","SI","","","2026-03-17 07:19:42 PM",""
"CUPS","013110","DRENAJE DE ESPACIO SUBDURAL CON REPARO DE SENOS DURALES ROTOS","CapItulo 01 SISTEMA NERVIOSO","SI","","False","False","Z","False","False","SUBCATEGORIA","01.3.1.10","013110","INCISIONES DE MENINGES CEREBRALES","INCISIÓN DE CEREBRO Y MENINGES CEREBRALES","PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES","SI","","","2026-03-17 07:19:42 PM",""
"CUPS","013201","SECCIÓN DE TEJIDO CEREBRAL (TRACTOS CEREBRALES) CON ABLACIÓN POR ESTEREOTAXIA","CapItulo 01 SISTEMA NERVIOSO","SI","","False","False","Z","False","False","SUBCATEGORIA","01.3.2.01","013201","LOBOTOMÍA O TRACTOTOMÍA O LESIÓN DESCONECTIVA (PARA CIRUGÍA FUNCIONAL)","INCISIÓN DE CEREBRO Y MENINGES CEREBRALES","PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES","SI","","","2026-03-17 07:19:42 PM",""
"CUPS","013202","SECCIÓN DE TEJIDO CEREBRAL (TRACTOS CEREBRALES)- POR CRANEOTOMÍA","CapItulo 01 SISTEMA NERVIOSO","SI","","False","False","Z","False","False","SUBCATEGORIA","01.3.2.02","013202","LOBOTOMÍA O TRACTOTOMÍA O LESIÓN DESCONECTIVA (PARA CIRUGÍA FUNCIONAL)","INCISIÓN DE CEREBRO Y MENINGES CEREBRALES","PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES","SI","","","2026-03-17 07:19:42 PM",""
"CUPS","013204","SECCIÓN DE TEJIDO CEREBRAL (TRACTOS CEREBRALES) VÍA ENDOSCÓPICA","CapItulo 01 SISTEMA NERVIOSO","SI","","False","False","Z","False","False","SUBCATEGORIA","01.3.2.04","013204","LOBOTOMÍA O TRACTOTOMÍA O LESIÓN DESCONECTIVA (PARA CIRUGÍA FUNCIONAL)","INCISIÓN DE CEREBRO Y MENINGES CEREBRALES","PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES","SI","","","2026-03-17 07:19:42 PM",""
"CUPS","013205","SECCIÓN DEL CUERPO CALLOSO SEGMENTO ANTERIOR (CALLOSOTOMÍA) POR CRANEOTOMÍA","CapItulo 01 SISTEMA NERVIOSO","SI","","False","False","Z","False","False","SUBCATEGORIA","01.3.2.05","013205","LOBOTOMÍA O TRACTOTOMÍA O LESIÓN DESCONECTIVA (PARA CIRUGÍA FUNCIONAL)","INCISIÓN DE CEREBRO Y MENINGES CEREBRALES","PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES","SI","","","2026-03-17 07:19:42 PM",""
