"Tabla","Codigo","Nombre","Descripcion","Habilitado","Aplicacion","IsStandardGEL","IsStandardMSPS","Extra_I:AplicaASexo","Extra_II:EdadMinima","Extra_III:EdadMaxima","Extra_IV:GrupoMortalidad","Extra_V","Extra_VI:Capitulo","Extra_VII:Grupo","Extra_VIII:SubGrupo","Extra_IX:Categoria","Extra_X:Sexo","ValorRegistro","UsuarioResponsable","Fecha_Actualizacion","IsPublicPrivate"
"CIE10","A022","INFECCIONES LOCALIZADAS DEBIDAS A SALMONELLA","OTRAS INFECCIONES DEBIDAS SALMONELLA","SI","","False","False","3","0","999","1","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)","A02","","1","","A","","","2025-11-23 04:08:45 PM",""
"CIE10","A028","OTRAS INFECCIONES ESPECIFICADAS COMO DEBIDAS A SALMONELLA","OTRAS INFECCIONES DEBIDAS SALMONELLA","SI","","False","False","3","0","999","1","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)","A02","","1","","A","","","2025-11-23 04:08:45 PM",""
"CIE10","A029","INFECCION DEBIDA A SALMONELLA, NO ESPECIFICADA","OTRAS INFECCIONES DEBIDAS SALMONELLA","SI","","False","False","3","0","999","1","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)","A02","","1","","A","","","2025-11-23 04:08:45 PM",""
"CIE10","A030","SHIGELOSIS DEBIDA A SHIGELLA DYSENTERIAE","SHIGELOSIS","SI","","False","False","3","0","999","1","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)","A03","","1","","A","","","2025-11-23 04:08:45 PM",""
"CIE10","A031","SHIGELOSIS DEBIDA A SHIGELLA FLEXNERI","SHIGELOSIS","SI","","False","False","3","0","999","1","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)","A03","","1","","A","","","2025-11-23 04:08:45 PM",""
"CIE10","A032","SHIGELOSIS DEBIDA A SHIGELLA BOYDII","SHIGELOSIS","SI","","False","False","3","0","999","1","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)","A03","","1","","A","","","2025-11-23 04:08:45 PM",""
"CIE10","A033","SHIGELOSIS DEBIDA A SHIGELLA SONNEI","SHIGELOSIS","SI","","False","False","3","0","999","1","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)","A03","","1","","A","","","2025-11-23 04:08:45 PM",""
"CIE10","A038","OTRAS SHIGELOSIS","SHIGELOSIS","SI","","False","False","3","0","999","1","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)","A03","","1","","A","","","2025-11-23 04:08:45 PM",""
"CIE10","A039","SHIGELOSIS DE TIPO NO ESPECIFICADO","SHIGELOSIS","SI","","False","False","3","0","999","1","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)","A03","","1","","A","","","2025-11-23 04:08:45 PM",""
"CIE10","A040","INFECCION DEBIDA A ESCHERICHIA COLI ENTEROPATOGENA","OTRAS INFECCIONES INTESTINALES BACTERIANAS","SI","","False","False","3","0","999","1","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)","A04","","1","","A","","","2025-11-23 04:08:45 PM",""
"CIE10","A041","INFECCION DEBIDA A ESCHERICHIA COLI ENTEROTOXIGENA","OTRAS INFECCIONES INTESTINALES BACTERIANAS","SI","","False","False","3","0","999","1","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)","A04","","1","","A","","","2025-11-23 04:08:45 PM",""
"CIE10","A042","INFECCION DEBIDA A ESCHERICHIA COLI ENTEROINVASIVA","OTRAS INFECCIONES INTESTINALES BACTERIANAS","SI","","False","False","3","0","999","1","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)","A04","","1","","A","","","2025-11-23 04:08:45 PM",""
"CIE10","A043","INFECCION DEBIDA A ESCHERICHIA COLI ENTEROHEMORRAGICA","OTRAS INFECCIONES INTESTINALES BACTERIANAS","SI","","False","False","3","0","999","1","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)","A04","","1","","A","","","2025-11-23 04:08:45 PM",""
"CIE10","A044","OTRAS INFECCIONES INTESTINALES DEBIDAS A ESCHERICHIA COLI","OTRAS INFECCIONES INTESTINALES BACTERIANAS","SI","","False","False","3","0","999","1","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)","A04","","1","","A","","","2025-11-23 04:08:45 PM",""
"CIE10","A045","ENTERITIS DEBIDA A CAMPYLOBACTER","OTRAS INFECCIONES INTESTINALES BACTERIANAS","SI","","False","False","3","0","999","1","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)","A04","","1","","A","","","2025-11-23 04:08:45 PM",""
"CIE10","A046","ENTERITIS DEBIDA A YERSINIA ENTEROCOLITICA","OTRAS INFECCIONES INTESTINALES BACTERIANAS","SI","","False","False","3","0","999","1","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)","A04","","1","","A","","","2025-11-23 04:08:45 PM",""
"CIE10","A047","ENTEROCOLITIS DEBIDA A CLOSTRIDIUM DIFFICILE","OTRAS INFECCIONES INTESTINALES BACTERIANAS","SI","","False","False","3","0","999","1","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)","A04","","1","","A","","","2025-11-23 04:08:45 PM",""
"CIE10","A048","OTRAS INFECCIONES INTESTINALES BACTERIANAS ESPECIFICADAS","OTRAS INFECCIONES INTESTINALES BACTERIANAS","SI","","False","False","3","0","999","1","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)","A04","","1","","A","","","2025-11-23 04:08:45 PM",""
"CIE10","A049","INFECCION INTESTINAL BACTERIANA, NO ESPECIFICADA","OTRAS INFECCIONES INTESTINALES BACTERIANAS","SI","","False","False","3","0","999","1","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)","A04","","1","","A","","","2025-11-23 04:08:45 PM",""
"CIE10","A050","INTOXICACION ALIMENTARIA ESTAFILOCOCICA","OTRAS INTOXICACIONES ALIMENTARIAS BACTERIANAS NO CLASIFICADAS EN OTRA PARTE","SI","","False","False","3","0","999","1","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)","A05","","1","","A","","","2025-11-23 04:08:45 PM",""
"CIE10","A051","BOTULISMO","OTRAS INTOXICACIONES ALIMENTARIAS BACTERIANAS NO CLASIFICADAS EN OTRA PARTE","SI","","False","False","3","0","999","1","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)","A05","","1","","A","","","2025-11-23 04:08:45 PM",""
"CIE10","A052","INTOXICACION ALIMENTARIA DEBIDA A CLOSTRIDIUM PERFRINGENS [CLOSTRIDIUM WELCHII]","OTRAS INTOXICACIONES ALIMENTARIAS BACTERIANAS NO CLASIFICADAS EN OTRA PARTE","SI","","False","False","3","0","999","1","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)","A05","","1","","A","","","2025-11-23 04:08:45 PM",""
"CIE10","A053","INTOXICACION ALIMENTARIA DEBIDA A VIBRIO PARAHAEMOLYTICUS","OTRAS INTOXICACIONES ALIMENTARIAS BACTERIANAS NO CLASIFICADAS EN OTRA PARTE","SI","","False","False","3","0","999","1","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)","A05","","1","","A","","","2025-11-23 04:08:45 PM",""
"CIE10","A054","INTOXICACION ALIMENTARIA DEBIDA A BACILLUS CEREUS","OTRAS INTOXICACIONES ALIMENTARIAS BACTERIANAS NO CLASIFICADAS EN OTRA PARTE","SI","","False","False","3","0","999","1","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)","A05","","1","","A","","","2025-11-23 04:08:45 PM",""
"CIE10","A058","OTRAS INTOXICACIONES ALIMENTARIAS DEBIDAS A BACTERIAS ESPECIFICADAS","OTRAS INTOXICACIONES ALIMENTARIAS BACTERIANAS NO CLASIFICADAS EN OTRA PARTE","SI","","False","False","3","0","999","1","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)","A05","","1","","A","","","2025-11-23 04:08:45 PM",""
"CIE10","A059","INTOXICACION ALIMENTARIA BACTERIANA, NO ESPECIFICADA","OTRAS INTOXICACIONES ALIMENTARIAS BACTERIANAS NO CLASIFICADAS EN OTRA PARTE","SI","","False","False","3","0","999","1","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)","A05","","1","","A","","","2025-11-23 04:08:45 PM",""
"CIE10","A060","DISENTERIA AMEBIANA AGUDA","AMEBIASIS","SI","","False","False","3","0","999","1","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)","A06","","1","","A","","","2025-11-23 04:08:45 PM",""
"CIE10","A061","AMEBIASIS INTESTINAL CRONICA","AMEBIASIS","SI","","False","False","3","0","999","1","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)","A06","","1","","A","","","2025-11-23 04:08:45 PM",""
"CIE10","A062","COLITIS AMEBIANA NO DISENTERICA","AMEBIASIS","SI","","False","False","3","0","999","1","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)","A06","","1","","A","","","2025-11-23 04:08:45 PM",""
"CIE10","A063","AMEBOMA INTESTINAL","AMEBIASIS","SI","","False","False","3","0","999","1","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)","A06","","1","","A","","","2025-11-23 04:08:45 PM",""
"CIE10","A064","ABSCESO AMEBIANO DEL HIGADO","AMEBIASIS","SI","","False","False","3","0","999","1","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)","A06","","1","","A","","","2025-11-23 04:08:45 PM",""
"CIE10","A065","ABSCESO AMEBIANO DEL PULMON","AMEBIASIS","SI","","False","False","3","0","999","1","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)","A06","","1","","A","","","2025-11-23 04:08:45 PM",""
"CIE10","A066","ABSCESO AMEBIANO DEL CEREBRO","AMEBIASIS","SI","","False","False","3","0","999","1","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)","A06","","1","","A","","","2025-11-23 04:08:45 PM",""
"CIE10","A067","AMEBIASIS CUTANEA","AMEBIASIS","SI","","False","False","3","0","999","1","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)","A06","","1","","A","","","2025-11-23 04:08:45 PM",""
"CIE10","A068","INFECCION AMEBIANA DE OTRAS LOCALIZACIONES","AMEBIASIS","SI","","False","False","3","0","999","1","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)","A06","","1","","A","","","2025-11-23 04:08:45 PM",""
"CIE10","A069","AMEBIASIS, NO ESPECIFICADA","AMEBIASIS","SI","","False","False","3","0","999","1","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)","A06","","1","","A","","","2025-11-23 04:08:45 PM",""
"CIE10","A070","BALANTIDIASIS","OTRAS ENFERMEDADES INTESTINALES DEBIDAS A PROTOZOARIOS","SI","","False","False","3","0","999","1","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)","A07","","1","","A","","","2025-11-23 04:08:45 PM",""
"CIE10","A071","GIARDIASIS [LAMBLIASIS]","OTRAS ENFERMEDADES INTESTINALES DEBIDAS A PROTOZOARIOS","SI","","False","False","3","0","999","1","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)","A07","","1","","A","","","2025-11-23 04:08:45 PM",""
"CIE10","A072","CRIPTOSPORIDIOSIS","OTRAS ENFERMEDADES INTESTINALES DEBIDAS A PROTOZOARIOS","SI","","False","False","3","0","999","1","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)","A07","","1","","A","","","2025-11-23 04:08:45 PM",""
"CIE10","A073","ISOSPORIASIS","OTRAS ENFERMEDADES INTESTINALES DEBIDAS A PROTOZOARIOS","SI","","False","False","3","0","999","1","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)","A07","","1","","A","","","2025-11-23 04:08:45 PM",""
"CIE10","A078","OTRAS ENFERMEDADES INTESTINALES ESPECIFICADAS DEBIDAS A PROTOZOARIOS","OTRAS ENFERMEDADES INTESTINALES DEBIDAS A PROTOZOARIOS","SI","","False","False","3","0","999","1","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)","A07","","1","","A","","","2025-11-23 04:08:45 PM",""
"CIE10","A079","ENFERMEDAD INTESTINAL DEBIDA A PROTOZOARIOS, NO ESPECIFICADA","OTRAS ENFERMEDADES INTESTINALES DEBIDAS A PROTOZOARIOS","SI","","False","False","3","0","999","1","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)","A07","","1","","A","","","2025-11-23 04:08:45 PM",""
"CIE10","A080","ENTERITIS DEBIDA A ROTAVIRUS","INFECCIONES INTESTINALES DEBIDAS A VIRUS Y OTROS ORGANISMOS ESPECIFICADOS","SI","","False","False","3","0","999","1","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)","A08","","1","","A","","","2025-11-23 04:08:45 PM",""
"CIE10","A081","GASTROENTEROPATIA AGUDA DEBIDA AL AGENTE DE NORWALK","INFECCIONES INTESTINALES DEBIDAS A VIRUS Y OTROS ORGANISMOS ESPECIFICADOS","SI","","False","False","3","0","999","1","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)","A08","","1","","A","","","2025-11-23 04:08:45 PM",""
"CIE10","A082","ENTERITIS DEBIDA A ADENOVIRUS","INFECCIONES INTESTINALES DEBIDAS A VIRUS Y OTROS ORGANISMOS ESPECIFICADOS","SI","","False","False","3","0","999","1","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)","A08","","1","","A","","","2025-11-23 04:08:45 PM",""
"CIE10","A083","OTRAS ENTERITIS VIRALES","INFECCIONES INTESTINALES DEBIDAS A VIRUS Y OTROS ORGANISMOS ESPECIFICADOS","SI","","False","False","3","0","999","1","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)","A08","","1","","A","","","2025-11-23 04:08:45 PM",""
"CIE10","A084","INFECCION INTESTINAL VIRAL, SIN OTRA ESPECIFICACION","INFECCIONES INTESTINALES DEBIDAS A VIRUS Y OTROS ORGANISMOS ESPECIFICADOS","SI","","False","False","3","0","999","1","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)","A08","","1","","A","","","2025-11-23 04:08:45 PM",""
"CIE10","A085","OTRAS INFECCIONES INTESTINALES ESPECIFICADAS","INFECCIONES INTESTINALES DEBIDAS A VIRUS Y OTROS ORGANISMOS ESPECIFICADOS","SI","","False","False","3","0","999","1","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)","A08","","1","","A","","","2025-11-23 04:08:45 PM",""
"CIE10","A090","OTRAS GASTROENTERITIS Y COLITIS DE ORIGEN INFECCIOSO","OTRAS GASTROENTERITIS Y COLITIS DE ORIGEN INFECCIOSO Y NO ESPECIFICADO","SI","","False","False","3","0","999","1","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)","A09","","1","","A","","","2025-11-23 04:08:45 PM",""
"CIE10","A099","GASTROENTERITIS Y COLITIS DE ORIGEN NO ESPECIFICADO","OTRAS GASTROENTERITIS Y COLITIS DE ORIGEN INFECCIOSO Y NO ESPECIFICADO","SI","","False","False","3","0","999","1","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)","A09","","1","","A","","","2025-11-23 04:08:45 PM",""
"CIE10","A09X","DIARREA Y GASTROENTERITIS DE PRESUNTO ORIGEN INFECCIOSO","DIARREA Y GASTROENTERITIS DE PRESUNTO ORIGEN INFECCIOSO","SI","","False","False","3","0","999","1","DIARREA Y GASTROENTERITIS DE PRESUNTO ORIGEN INFECCIOSO","A09","","1","","A","","","2025-11-23 04:08:45 PM",""
"CIE10","A150","TUBERCULOSIS DEL PULMON, CONFIRMADA POR HALLAZGO MICROSCOPICO DEL BACILO TUBERCULOSO EN ESPUTO, CON O SIN CULTIVO","TUBERCULOSIS RESPIRATORIA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE","SI","","False","False","3","0","120","1","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)","A15","","1","","A","","","2025-11-23 04:08:45 PM",""
"CIE10","A151","TUBERCULOSIS DEL PULMON, CONFIRMADA UNICAMENTE POR CULTIVO","TUBERCULOSIS RESPIRATORIA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE","SI","","False","False","3","0","120","1","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)","A15","","1","","A","","","2025-11-23 04:08:45 PM",""
"CIE10","A152","TUBERCULOSIS DEL PULMON, CONFIRMADA HISTOLOGICAMENTE","TUBERCULOSIS RESPIRATORIA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE","SI","","False","False","3","0","120","1","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)","A15","","1","","A","","","2025-11-23 04:08:45 PM",""
"CIE10","A153","TUBERCULOSIS DEL PULMON, CONFIRMADA POR MEDIOS NO ESPECIFICADOS","TUBERCULOSIS RESPIRATORIA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE","SI","","False","False","3","0","120","1","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)","A15","","1","","A","","","2025-11-23 04:08:45 PM",""
"CIE10","A154","TUBERCULOSIS DE GANGLIOS LINFATICOS INTRATORACICOS, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE","TUBERCULOSIS RESPIRATORIA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE","SI","","False","False","3","0","120","1","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)","A15","","1","","A","","","2025-11-23 04:08:45 PM",""
"CIE10","A155","TUBERCULOSIS DE LARINGE, TRAQUEA Y BRONQUIOS, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE","TUBERCULOSIS RESPIRATORIA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE","SI","","False","False","3","0","120","1","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)","A15","","1","","A","","","2025-11-23 04:08:45 PM",""
"CIE10","A156","PLEURESIA TUBERCULOSA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE","TUBERCULOSIS RESPIRATORIA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE","SI","","False","False","3","0","120","1","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)","A15","","1","","A","","","2025-11-23 04:08:45 PM",""
"CIE10","A157","TUBERCULOSIS RESPIRATORIA PRIMARIA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE","TUBERCULOSIS RESPIRATORIA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE","SI","","False","False","3","0","120","1","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)","A15","","1","","A","","","2025-11-23 04:08:45 PM",""
"CIE10","A158","OTRAS TUBERCULOSIS RESPIRATORIAS, CONFIRMADAS BACTERIOLOGICA E HISTOLOGICAMENTE","TUBERCULOSIS RESPIRATORIA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE","SI","","False","False","3","0","120","1","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)","A15","","1","","A","","","2025-11-23 04:08:45 PM",""
"CIE10","A159","TUBERCULOSIS RESPIRATORIA NO ESPECIFICADA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE","TUBERCULOSIS RESPIRATORIA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE","SI","","False","False","3","0","120","1","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)","A15","","1","","A","","","2025-11-23 04:08:45 PM",""
"CIE10","A160","TUBERCULOSIS DEL PULMON, CON EXAMEN BACTERIOLOGICO E HISTOLOGICO NEGATIVOS","TUBERCULOSIS RESPIRATORIA, NO CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE","SI","","False","False","3","0","120","1","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)","A16","","1","","A","","","2025-11-23 04:08:45 PM",""
"CIE10","A161","TUBERCULOSIS DE PULMON, SIN EXAMEN BACTERIOLOGICO E HISTOLOGICO","TUBERCULOSIS RESPIRATORIA, NO CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE","SI","","False","False","3","0","120","1","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)","A16","","1","","A","","","2025-11-23 04:08:45 PM",""
"CIE10","A162","TUBERCULOSIS DE PULMON, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA","TUBERCULOSIS RESPIRATORIA, NO CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE","SI","","False","False","3","0","120","1","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)","A16","","1","","A","","","2025-11-23 04:08:45 PM",""
"CIE10","A163","TUBERCULOSIS DE GANGLIOS LINFATICOS INTRATORACICOS, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA","TUBERCULOSIS RESPIRATORIA, NO CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE","SI","","False","False","3","0","120","1","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)","A16","","1","","A","","","2025-11-23 04:08:45 PM",""
"CIE10","A164","TUBERCULOSIS DE LARINGE, TRAQUEA Y BRONQUIOS, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA","TUBERCULOSIS RESPIRATORIA, NO CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE","SI","","False","False","3","0","120","1","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)","A16","","1","","A","","","2025-11-23 04:08:45 PM",""
"CIE10","A165","PLEURESIA TUBERCULOSA, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA","TUBERCULOSIS RESPIRATORIA, NO CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE","SI","","False","False","3","0","120","1","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)","A16","","1","","A","","","2025-11-23 04:08:45 PM",""
"CIE10","A167","TUBERCULOSIS RESPIRATORIA PRIMARIA, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA","TUBERCULOSIS RESPIRATORIA, NO CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE","SI","","False","False","3","0","120","1","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)","A16","","1","","A","","","2025-11-23 04:08:45 PM",""
"CIE10","A168","OTRAS TUBERCULOSIS RESPIRATORIAS, SIN MENCION DE CONFIRMACION","TUBERCULOSIS RESPIRATORIA, NO CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE","SI","","False","False","3","0","120","1","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)","A16","","1","","A","","","2025-11-23 04:08:45 PM",""
"CIE10","A169","TUBERCULOSIS RESPIRATORIA NO ESPECIFICADA, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA","TUBERCULOSIS RESPIRATORIA, NO CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE","SI","","False","False","3","0","120","1","CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)","A16","","1","","A","","","2025-11-23 04:08:45 PM",""
